TIMESTAMP,ContextTokens,GeneratedTokens
2023-11-16 18:15:47.6805900,374,60
2023-11-16 18:15:48.6805900,374,60
2023-11-16 18:15:49.6805900,374,60
2023-11-16 18:15:50.6805900,374,60
2023-11-16 18:15:51.6805900,374,60
2023-11-16 18:15:52.6805900,374,60
2023-11-16 18:15:53.6805900,374,60
2023-11-16 18:15:54.6805900,374,60
2023-11-16 18:15:55.6805900,374,60
2023-11-16 18:15:56.6805900,374,60
2023-11-16 18:15:57.6805900,374,60
2023-11-16 18:15:58.6805900,374,60
2023-11-16 18:15:59.6805900,374,60
2023-11-16 18:16:00.6805900,374,60
2023-11-16 18:16:01.6805900,374,60
2023-11-16 18:16:02.6805900,374,60
2023-11-16 18:16:03.6805900,374,60
2023-11-16 18:16:04.6805900,374,60
2023-11-16 18:16:05.6805900,374,60
2023-11-16 18:16:06.6805900,374,60
2023-11-16 18:16:07.6805900,374,60
2023-11-16 18:16:08.6805900,374,60
2023-11-16 18:16:09.6805900,374,60
2023-11-16 18:16:10.6805900,374,60
2023-11-16 18:16:11.6805900,374,60
2023-11-16 18:16:12.6805900,374,60
2023-11-16 18:16:13.6805900,374,60
2023-11-16 18:16:14.6805900,374,60
2023-11-16 18:16:15.6805900,374,60
2023-11-16 18:16:16.6805900,374,60
2023-11-16 18:16:17.6805900,374,60
2023-11-16 18:16:18.6805900,374,60
2023-11-16 18:16:19.6805900,374,60
2023-11-16 18:16:20.6805900,374,60
2023-11-16 18:16:21.6805900,374,60
2023-11-16 18:16:22.6805900,374,60
2023-11-16 18:16:23.6805900,374,60
2023-11-16 18:16:24.6805900,374,60
2023-11-16 18:16:25.6805900,374,60
2023-11-16 18:16:26.6805900,374,60
2023-11-16 18:16:27.6805900,374,60
2023-11-16 18:16:28.6805900,374,60
2023-11-16 18:16:29.6805900,374,60
2023-11-16 18:16:30.6805900,374,60
2023-11-16 18:16:31.6805900,374,60
2023-11-16 18:16:32.6805900,374,60
2023-11-16 18:16:33.6805900,374,60
2023-11-16 18:16:34.6805900,374,60
2023-11-16 18:16:35.6805900,374,60
2023-11-16 18:16:36.6805900,374,60
2023-11-16 18:16:37.6805900,374,60
2023-11-16 18:16:38.6805900,374,60
2023-11-16 18:16:39.6805900,374,60
2023-11-16 18:16:40.6805900,374,60
2023-11-16 18:16:41.6805900,374,60
2023-11-16 18:16:42.6805900,374,60
2023-11-16 18:16:43.6805900,374,60
2023-11-16 18:16:44.6805900,374,60
2023-11-16 18:16:45.6805900,374,60
2023-11-16 18:16:46.6805900,374,60
2023-11-16 18:16:47.6805900,374,60
2023-11-16 18:16:48.6805900,374,60
2023-11-16 18:16:49.6805900,374,60
2023-11-16 18:16:50.6805900,374,60
